kind,key,path,url
pinned-source,avante,lua/avante/llm.lua,https://github.com/avante-corp/avante.nvim/blob/18316361891e59f3d18732fea0b1fe68c8be56e9/lua/avante/llm.lua
pinned-source,avante,lua/avante/llm_tools/dispatch_agent.lua,https://github.com/avante-corp/avante.nvim/blob/18316361891e59f3d18732fea0b1fe68c8be56e9/lua/avante/llm_tools/dispatch_agent.lua
pinned-source,codecompanion,README.md,https://github.com/olimorris/codecompanion.nvim/blob/3af636c9892c70c5a4e91604718bf902076aff26/README.md
pinned-source,codecompanion,lua/codecompanion/adapters/http/init.lua,https://github.com/olimorris/codecompanion.nvim/blob/3af636c9892c70c5a4e91604718bf902076aff26/lua/codecompanion/adapters/http/init.lua
pinned-source,codecompanion,lua/codecompanion/acp/init.lua,https://github.com/olimorris/codecompanion.nvim/blob/3af636c9892c70c5a4e91604718bf902076aff26/lua/codecompanion/acp/init.lua
official-document,tabnine-agent,,https://docs.tabnine.com/main/getting-started/tabnine-agent
official-document,tabnine-settings,,https://docs.tabnine.com/main/getting-started/tabnine-agent/agent-settings
official-document,tabnine-models,,https://docs.tabnine.com/main/welcome/readme/ai-models
official-document,jules-docs,,https://jules.google/docs
official-document,jules-api,,https://jules.google/docs/api/reference/
official-document,manus-computer,,https://help.manus.im/en/articles/15392111-what-is-the-cloud-computer
official-document,claude-model,,https://code.claude.com/docs/en/model-config.md
official-document,google-models,,https://ai.google.dev/gemini-api/docs/models
official-document,deepseek-models,,https://api-docs.deepseek.com/quick_start/pricing/
official-document,qwen-models,,https://www.alibabacloud.com/help/en/model-studio/models
official-document,kimi-models,,https://www.kimi.com/code/docs/en/kimi-code/models.html
official-document,mimo-models,,https://mimo.mi.com/docs/en-US/news/latest/v2.5-open-sourced
official-document,glm-models,,https://docs.z.ai/guides/llm/glm-5.3
official-document,minimax-models,,https://platform.minimax.io/docs/guides/models-intro
official-document,mistral-models,,https://docs.mistral.ai/models
official-document,grok-build-settings,,https://docs.x.ai/build/settings
official-document,qwen-local-card,,https://huggingface.co/Qwen/Qwen3-Coder-30B-A3B-Instruct/raw/main/README.md
official-document,gpt-oss-card,,https://huggingface.co/openai/gpt-oss-20b/raw/main/README.md
official-document,qoder-custom-models,,https://docs.qoder.com/qoder/custom-models.md
official-document,factory-byok,,https://docs.factory.ai/model-independence/byok.md
pinned-source,dify,README.md,https://github.com/langgenius/dify/blob/a068c47ea993ccc0f943131c274b7830b16de9f4/README.md
pinned-source,dify,api/core/workflow/workflow_entry.py,https://github.com/langgenius/dify/blob/a068c47ea993ccc0f943131c274b7830b16de9f4/api/core/workflow/workflow_entry.py
pinned-source,dify,api/core/agent/fc_agent_runner.py,https://github.com/langgenius/dify/blob/a068c47ea993ccc0f943131c274b7830b16de9f4/api/core/agent/fc_agent_runner.py
pinned-source,n8n,README.md,https://github.com/n8n-io/n8n/blob/8012f017bc80a35cef0c3012033e9089c9db8e03/README.md
pinned-source,n8n,packages/@n8n/nodes-langchain/nodes/agents/Agent/agents/ToolsAgent/V3/execute.ts,https://github.com/n8n-io/n8n/blob/8012f017bc80a35cef0c3012033e9089c9db8e03/packages/@n8n/nodes-langchain/nodes/agents/Agent/agents/ToolsAgent/V3/execute.ts
pinned-source,mini-swe-agent,README.md,https://github.com/SWE-agent/mini-swe-agent/blob/04d809ceab9df28f9adaed044884180159172930/README.md
pinned-source,mini-swe-agent,src/minisweagent/agents/default.py,https://github.com/SWE-agent/mini-swe-agent/blob/04d809ceab9df28f9adaed044884180159172930/src/minisweagent/agents/default.py
pinned-source,swe-agent,sweagent/agent/agents.py,https://github.com/SWE-agent/SWE-agent/blob/3ea751c087f32b16e039a2233dd6eefecef325d5/sweagent/agent/agents.py
pinned-source,swe-agent,README.md,https://github.com/SWE-agent/SWE-agent/blob/3ea751c087f32b16e039a2233dd6eefecef325d5/README.md
pinned-source,oh-my-openagent,README.md,https://github.com/code-yeongyu/oh-my-openagent/blob/d862a09a0cce8a77b14168bd68d5a29087b18d79/README.md
pinned-source,oh-my-openagent,docs/guide/orchestration.md,https://github.com/code-yeongyu/oh-my-openagent/blob/d862a09a0cce8a77b14168bd68d5a29087b18d79/docs/guide/orchestration.md
pinned-source,continue,README.md,https://github.com/continuedev/continue/blob/5522c6f44ca0ac3528b37244818fbfa39b5af470/README.md
pinned-source,roo-code,README.md,https://github.com/RooCodeInc/Roo-Code/blob/b867ec9145750d0ae1ff7f02d35406e9bf2a0b16/README.md
repository,aider,,https://github.com/Aider-AI/aider
repository,trae-agent,,https://github.com/bytedance/trae-agent
pinned-source,aider,aider/repomap.py,https://github.com/Aider-AI/aider/blob/5dc9490bb35f9729ef2c95d00a19ccd30c26339c/aider/repomap.py
pinned-source,aider,aider/coders/base_coder.py,https://github.com/Aider-AI/aider/blob/5dc9490bb35f9729ef2c95d00a19ccd30c26339c/aider/coders/base_coder.py
official-document,aider-models,,https://aider.chat/docs/llms.html
pinned-source,zed,docs/src/ai/external-agents.md,https://github.com/zed-industries/zed/blob/16c9aa7ea6d897a8044d9501cde1b295256722f2/docs/src/ai/external-agents.md
pinned-source,cherry-studio,docs/references/ai/agent-session-runtime.md,https://github.com/CherryHQ/cherry-studio/blob/633729727543cfe7ccab776cc08e3a24fa7a925d/docs/references/ai/agent-session-runtime.md
official-document,augment-context-engine-mcp,,https://docs.augmentcode.com/context-services/mcp/overview.md
pinned-source,openhands,README.md,https://github.com/OpenHands/OpenHands/blob/ffdc65e10c3aa68ae1704eedbc6a011c02fcec8c/README.md
official-document,warp-agents,,https://docs.warp.dev/_llms-txt/agents.txt
pinned-source,mimo-code,docs/architecture/codex-microkernel-runtime.en.md,https://github.com/XiaomiMiMo/MiMo-Code/blob/1579e7d9ee5fca87b707c3892dc725316674a9d6/docs/architecture/codex-microkernel-runtime.en.md
pinned-source,pi,packages/coding-agent/docs/extensions.md,https://github.com/earendil-works/pi/blob/b4588f26af2f74f7b1387b548e04a3c8d81da75b/packages/coding-agent/docs/extensions.md
pinned-source,goose,documentation/docs/guides/sessions/smart-context-management.md,https://github.com/aaif-goose/goose/blob/91a5789bce40ee312675e6715c20eb3612d1a03c/documentation/docs/guides/sessions/smart-context-management.md
pinned-source,kimi-code,packages/agent-core-v2/src/agent/fullCompaction/strategy.ts,https://github.com/MoonshotAI/kimi-code/blob/6451f1e056e90037bbf832f3578955cf8e55db64/packages/agent-core-v2/src/agent/fullCompaction/strategy.ts
pinned-source,mimo-code,README.md,https://github.com/XiaomiMiMo/MiMo-Code/blob/1579e7d9ee5fca87b707c3892dc725316674a9d6/README.md
pinned-source,hermes,agent/memory_manager.py,https://github.com/NousResearch/hermes-agent/blob/42c1a93417fa588e735736a0740787ce37381ffd/agent/memory_manager.py
pinned-source,deepseek-harness,docs/architecture.md,https://github.com/deepseek-ai/deepseek-harness/blob/00102833dfaee1da9f48a3a8eae9d34005a75218/docs/architecture.md
pinned-source,chatbox,docs/technical/agent-soul-memories.md,https://github.com/chatboxai/chatbox/blob/0cf406cbd93197a89487c740cb101bef36641d35/docs/technical/agent-soul-memories.md
pinned-source,cline,docs/cli/agent-teams.mdx,https://github.com/cline/cline/blob/078f82b1e2617a6be421e34c08d35af1c3a78d87/docs/cli/agent-teams.mdx
official-document,factory-subagents,,https://docs.factory.ai/harness/subagents.md
pinned-source,hermes,tools/delegate_tool.py,https://github.com/NousResearch/hermes-agent/blob/42c1a93417fa588e735736a0740787ce37381ffd/tools/delegate_tool.py
pinned-source,deepseek-harness,docs/subsystems/subagent.md,https://github.com/deepseek-ai/deepseek-harness/blob/00102833dfaee1da9f48a3a8eae9d34005a75218/docs/subsystems/subagent.md
pinned-source,pi,README.md,https://github.com/earendil-works/pi/blob/b4588f26af2f74f7b1387b548e04a3c8d81da75b/README.md
pinned-source,codex,codex-rs/core/src/sandboxing/mod.rs,https://github.com/openai/codex/blob/8a577399c774d1881ef030971d8f271694f55536/codex-rs/core/src/sandboxing/mod.rs
pinned-source,grok-build,crates/codegen/xai-grok-sandbox/src/lib.rs,https://github.com/xai-org/grok-build/blob/4247f661689354b831191f11eeeac8424993fe3d/crates/codegen/xai-grok-sandbox/src/lib.rs
pinned-source,openclaw,docs/concepts/architecture.md,https://github.com/openclaw/openclaw/blob/b419a4add99ff917504ed26168babdbde6ac7ab6/docs/concepts/architecture.md
